ID,Title,Price,Description,Hashtags
101471608931,日本制精品Dude Timepieces collection杜德座鐘Sunframe Dude 水晶玻璃钟表系列,1800,日本制精品Dude Timepieces collection杜德座鐘Sunframe Dude 水晶玻璃钟表系列,"['水晶', 'Dude', '鐘']"
101423842985,稀缺日本原裝河合KL-11KF頂級歐式雕花古典鋼琴,108000,KAWAI KL-11KF 是日本河合署經典永存款、等同現在Kawai 907 Designer Studio款 華麗的造型和非凡的性能。憑借高貴的設計和優雅的細微差別，它是真正的藝術品，可為任何家庭增添豐富的美感和風格。 這是立式钢琴设计师系列、用最好的原木材 。优质桃花心木和樱桃木为独特的表壳设计提供了基本特征。精心雕刻的腿和每个面板上的优雅装饰，每一件精致的外表下都隐藏着一件精湛的乐器，提供典藏级的艺术享受。 放那兒都好看、有氣質。,"['手工', 'KAWAI', '歐式鋼琴']"
101409082581,日本音楽の国music land 12色音樂彩色素描筆,380,日本音楽の国music land12色彩色素描筆,"['日本音樂飾品', '彩色素描筆']"
101409032386,日本迪士尼版權Miki Symphony限量馬克杯,360,日本原裝進口迪士尼版權Miki Symphony限量馬克杯,"['交響樂', '迪士尼', '馬克杯', '音樂飾品']"
101403042444,英國樂譜音樂軟木杯墊收藏品,90,樂譜音樂軟木杯墊 ：樂譜. 鋼琴 .鍵盤。共6個500免運,[]
101401884150,英國Waterford 水晶鐘藏品,1880,Waterford Crystal自1783年由彭羅斯兄弟創立以來就代表了百年水平貭量和工藝、是愛爾蘭生活方式的標誌,"['切割水晶', '鐘']"
101401883405,德國加工Waterford機芯 Dude花花公子水晶提琴時鐘藏品,1680,珍愛收藏 ；用水晶鐘來裝飾辦公桌、壁爐上⋯增添優雅、低調奢華,"['水晶提琴', '鐘']"
101401881533,日本碳纖清亮鋼琴滑鼠墊,280,全新品,"['鋼琴', '滑鼠']"
101401861692,貝多芬鑄鐵雕刻藝術畫像收藏品,980,"限量版紀念收藏  : Beethoven op.13  Sonata in C Minor, 音符雕刻+貝多芬肖像",[]
101398657064,日本鈴木小提琴Suzuki No. 330 1/4 經典品貭小提琴-付日本原裝琴盒,8500,Suzuki violin Co. 的精美中級小提琴 Model: 330  Made in Japan  Nagoya. 小提狀況完好、整体乾淨如新 330型号以其華麗的木材和精湛工藝脫穎而出、是鈴木最成功的中級型。,"['violin', '小提琴', 'japan', '日本製']"
101227492191,PETZ實木大提琴防滑墊防滑板止滑帶,418,PETZ實木大提琴防滑墊止滑板防滑板止滑帶大提琴專用防滑配件。,"['Cello', '大提琴', '弦樂', '提琴配件']"
101226070401,歐洲音樂飾品拉大提琴的女孩陶瓷收藏品,1680,全新品 手工製作、線條優雅美感,['大提琴音樂家弦樂']
100917754104,文創紙模型紙雕二重奏,400,"文創產業紙模型DIY組裝。
產地：台灣
Finish size : 117x85x82 mm",[]
100791508275,☆Phiharmonic愛樂工坊☆ 初學演出比賽用小提琴租售專業提琴維修,500,對於弦樂器的初學者，或是即將參加專業藝校或專業樂團面試的樂手來說，如果當前的經濟狀況還不能承 擔樂器的購買，那麼樂器租賃將是一個很好的選擇。 也提供給專業樂手高檔樂器租售.詳洽 0921650231或留訊,[]
100776266261,弦樂人的神級禮物 芭蕾舞者的小提琴音樂盒,880,全新品,"['送禮', '小提琴', '音樂盒', '芭蕾', '聖誕禮物']"
100760702975,意大利高级专业手工松香Bogaro&Clemente小提琴中提琴通用,980,商品產地：意大利商品特点：纯手工制成，粉末少，粘度适中，附着力强，属于松香 意大利高级专业手工松香Bogaro&Clemente小提琴中提琴通用,[]
100759043577,☆Phiharmonic愛樂工坊☆ 專業欧洲枫木小提琴肩垫,1280,專業欧洲枫木小提琴肩垫. 加厚海绵舒适肩垫.宽度. 高宽度可調.實木提琴肩墊,"['violin', '肩墊']"
100747341820,學院風小提琴藝文腕提、背兩用包,1180,全新品,[]
100737974174,☆ Swarovski (bling !bling!)水鑽小提琴別針,480,全新品,"['Gold', 'silver']"
100716557746,精緻嚴選 小提琴弓-全型號,1500,做工細緻.音質增色明顯 小提琴的發音百分之八時在右手.持弓其重要性不言而喻. 對於初學者來說.勤弓都是買琴配送的.其因成本原因. 附送的弓常存在如;硬度不佳. 種因不準確.弓桿不直.握持手感差...等問題. 尋找一把準確入門弓是非常重要的. PS：請愛護您的弓，如同愛護您的眼睛，每次拉完琴，請及時放鬆弓毛，擦琴的同時帶過擦擦弓桿正常使用且定期保養,['巴西檀木小提弓']
100678041192,☆Phiharmonic愛樂工坊☆ 日本原裝不倒翁Kawai筆,185,全新品,[]
100631227654,**歐洲精品收藏家 Lladro 名品絕版收藏: 小提琴家,26000,"全新品
欧洲艺术精品收藏 **Lladro名瓷 绝版收藏：小提琴家
LECCION DE VIOLIN SWEET SYMPKONY
高度：约24cm
宽度：约21.5cm

LLADRO是值得收藏的名品。这纯手工所捏塑的瓷偶，生动又具像的表现出其优雅的姿态与表情. 她令人赞叹的制作技术,使其作品呈现完美的线条与色泽.","['LLADRO', '骨瓷']"
100560436818,日本原裝陶瓷鋼琴小提琴時鐘,2800,日本原裝進口陶瓷鋼琴造型時鐘,[]
100558541066,☆日本原裝進口，管弦重奏玻璃杯 -大提琴 for 小咪,450,日本原裝進口，管弦重奏玻璃杯 -大提琴,[]
100471682239,☆Phiharmonic愛樂工坊☆Korg   PitchHawk-G 專業調音夾,750,精準度和高靈敏度 角度升級、 顯示器升級 好收納、 升降調的功能 夾子升級、 自動關機節省電力,[]
100457742444,☆Phiharmonic愛樂工坊☆YAMAHA violin V7 SG雅瑪哈小提琴,19800,YAMAHA violin V7 SG雅瑪哈小提琴 可訂全新 保有 V60 、 V30 的開發技術與特性 精緻完美的雕塑 YAMAHA VIOLIN V-10、V-7 Size: 4/4 表板: 松木 裏、橫板: 楓木,[]
100418991566,☆YAMAHA SLG200NW☆-雅瑪哈靜音電子吉他,22000,YAMAHA SLG200NW☆-雅瑪哈靜音電子吉他 SLG200NW 提供真實古典吉他體驗與傳統古典吉他琴頸結構。溫暖豐富的插件音色來自 SRT Powered 系統，烏木指板，用於產生緊湊和清晰的聲學聲音，而在調音器上的黃金底板讓品味提昇...不論音色和外觀都是頂尖系列。 SRT系統塑造真實的古典吉他共鳴音色 超簡潔的快拆式設計 獨特、搶眼的外型 超安靜設計 宛如電吉他的舒適手感 多樣效果與功能讓玩家永保樂趣 52mm傳統古典吉他指板寬度 黑檀木指板材質 全新設計的SRT系統可以使無琴身吉他重現出傳統吉他的音色及共鳴。 Yamaha SRT拾音系統是由多位錄音室樂手合作研發、針對新SLG琴體所開發的獨特性能和模擬系統，採樣自高端木吉他在錄音室環境中以麥克風收音所呈現的真實表現。透過實際重現傳統木吉他聲響與自然延音，Yamaha的吉他手們可以體驗到真正的木吉他琴體共鳴感受、琴身的音色表現與氛圍。 SRT系統可以混和來自piezo拾音器的原始音色與模擬音色，使吉他手可以自由創造更多變的音色。 由於SLG可以重現麥克風收音的自然吉他聲音，玩家們可以在家裡或在其他錄音設置時，藉由這樣的效果省下許多複雜的設定。 好彈奏:  SLG擁有超薄琴身設計的舒適彈奏性，宛如電吉他般的舒適彈奏手感讓你輕鬆好彈奏。 好設計:  SLG系列是Yamaha以FS小桶身吉他的經典輪廓所做出的獨特現代設計，傳統吉他產線與設計部門合作的努力成                    果，有別於市面上任何吉他的創新形式。 易攜式:   SLG系列擁有便利的快拆式邊框設計，使實用性與攜帶性都遠大於傳統吉他 附贈的專用吉他非常好背且節省空間，即使放在飛機上的行李櫃中也不占空間。 好安靜:   SLG系列的無琴身設計擁有非常自然的音色卻又非常安靜，不論是在深夜練習或是身處有他人在的房間時，讓吉他                 手們可以彈奏卻又不打擾周邊的人。SLG200系列比傳統吉他降低80%的音量。 功能性:   SLG系列擁有各種便利功能：可以連接外部音樂撥放器撥放音樂、運用各種真實效果增強演奏性、使用耳機享受獨                自彈奏的樂趣、內建的精準調音器、可選擇使用電池或是變壓器、還有許多便利玩家的功能等著你探索。 耐用性:   Yamaha’s SLG系列靜音吉他堅固的琴身結構造就了絕佳的耐用性，因此使用者出外旅行或是現場表演時再也不用                  害怕撞傷或是摔傷吉他。無論是鋼弦或是尼龍弦型號的琴頸都有調節桿(duel action truss rod)可以調整琴頸彎曲程                  度。,[]
100289510144,2016年最新款 YAMAHA YFL-272 開孔 加E分割鍵 長笛 全配,32000,"調性：C調 按鍵形式：開鍵 按鍵系統：曲列 音孔：抽孔式 E鍵：含 吹口管：鎳銀合金（表面鍍銀） 管體及管尾：鎳銀合金（表面鍍銀） 按鍵材質：鎳銀合金（表面鍍銀） 表面處理：鍍銀 尾管形式：C鍵尾管 200 系列長笛與 300 及 400 系列長笛擁有相同的高階設計與製作技術，以耐用的鎳銀合金打造而成，並加上引人注目的鍍銀烤漆，具有優秀的反應與音調等特色。 特色 CY 類型頭管 與法式錐形類似但為兩段式錐形設計，音色溫暖有深度，中、高音域集中，易控制，適合第一次使用手工吹頭者。 法式鍵臂 A#, F# 以及其他連動之按鍵都以法式鍵臂設計製作。優雅之按鍵設計是由傳統歐洲設計所啟發而成。 曲列式按鍵 曲列式提供舒適、自然的演奏位置與感覺。 開鍵式按鍵 開鍵式按鍵提供演奏者更多音色的呈現 校準記號 尾管的校準記號能夠讓初學者簡單、正確地完成安裝。",[]
100146109594,"☆日本原裝進口, 音樂造型設計燈飾 ☆　",3600,サイズ：高さ約520×200mm 本体：スチール、鋼 シェード 部：ファイバー強化プラスチック 使用電球：100/110ｖ スイッチ：ON/OFF,[]
100144785464,☆Phiharmonic愛樂工坊☆-Thomastik 公司出品，INFELD RED 紅小提琴弦,1650,Thomastik 公司出品， INFELD R ED 紅小提琴弦 音質乾淨飽滿. 音色溫潤甜美而有力 任何問題歡迎提出,[]
100138483903,☆日本國寶級畫家雨田光弘☆↗　交響樂貓咪盤㊣,430,可愛的貓咪指揮家出自於日本國宝畫家　雨田光弘大師之手 （Mitsuhiro Amada） 杯子和盤子皆可單一購買,[]
100138288611,☆日本國寶級畫家雨田光弘交響樂貓咪盤+杯 FOR 大姐,810,☆日本國寶級畫家雨田光弘☆↗　交響樂貓咪盤+杯,[]
100081647100,☆Phiharmonic愛樂工坊☆-evah pirazzi (viola)  中提琴弦,3200,"德國進口，高階琴弦。 有任何問題歡迎提出,

本商場還有更多有關提琴專業的產品喔~ 歡迎參觀我的飾品賣場唷---代號:  Y2740160134",[]
100069887373,☆Phiharmonic愛樂工坊☆-evah pirazzi小提琴弦,2150,德國進口，高階琴弦。 有任何問題歡迎提出 本商場還有更多有關提琴專業的產品喔~ 歡迎參觀我的飾品賣場唷,[]
100069887312,☆Phiharmonic愛樂工坊-樂器進行曲牆壁掛鉤,280,*尺寸：185*70mm *可掛些小東西就不會再迷迷糊糊囉 *例如鑰匙圈之類的零碎的小東西,[]
100050605727,☆Phiharmonic愛樂工坊☆ -Larsen Crown 拉森皇冠大提琴弦,2700,大消 息  ! ! ! 新產品上市 Crown這原產於SWEDEN 瑞典所出品的大提琴弦. 曾陪伴台灣5.60年代的音 樂 學子 成長.成名得很早.如今又被名廠Larsen 所併購.其價格很親民. 不妨一試 Crown made by Larsen 另有 tungsten  CG 弦,[]
100039948490,☆ Swarovski (bling !bling!)水鑽小提琴別針,680,*另有薩克斯風、豎琴、小提琴 小提琴NT.680   (紫色已售完.另有蘋果綠鑽) sax & harp NT.400 *精緻可愛作為禮盒或收藏都是不錯的選擇喔!,[]
100037696577,☆日本原裝進口，弦樂專用濕度調整劑,360,"木製弦樂器 :如吉他、小提琴、大提琴等樂器皆為木製品，而天然木材材質對急劇的溫、濕度變化非常敏感，故容易造成本體損傷破裂。進口樂器若未針對台灣氣候設計選材乾燥，極易對台灣高溫、高濕的氣候產生水土不服的現象。故對高級樂器而言除濕設備是相當重要的。 日常保養法： 一. 防潮濕 ： 台 灣四面環海 , 溫度偏高, 易造成提琴脫膠及指板的下陷的命運, 最好能多多利用除濕機, 勿放在濕氣大的環境 二. 防水氣： 提琴樂器在演奏後，用布擦乾後，收納於琴盒內，等待水氣完全蒸發後方能蓋上盒蓋。平時盒子裡要弦樂專用濕度調整劑 三. 防高 熱 ：提琴木質會因高溫急劇收縮，造成表板、背板等接合處裂開，即使送修，亦難回復原狀，應謹慎避免。 四 . 琴弓 ：拉完琴 , 將弓擦拭乾淨。 五. 琴弦 ： 弦是消耗品，有其壽命並非等弦斷後才予以更換，當弦的拉力、音色不對時便需整套更換，並非只換單弦，因新舊弦音色不一 一起更換才可確保音色的完美呈現。 是從透明的外包裝袋取出，擺在了綠色，因為它不破袋印刷，請使用它與頂面（吸濕表面）白片的保護袋。 另有鋼琴專用濕度調整劑",[]
b67612988,音樂下午茶咖啡組,700,下午茶杯盤組 *尺寸:杯子94*57mm 盤子145*119mm,[]
f52164995,☆Phiharmonic愛樂工坊☆-Pirastro Obligato 小提琴弦,2200,由於琴弦廠牌眾多， 當心買到囤積貨，品質相差 甚遠。 切忌勿貪小便宜喔^^ 有任何問題歡迎提出 本商場還有更多有關提琴專業的產品喔~ 歡迎參觀我的飾品賣場唷,[]
c49771682,☆Phiharmonic愛樂工坊☆-Pirastro Obligato Cello 大提琴弦,6300,由於琴弦廠牌眾多， 當心買到囤積貨，品質相差 甚遠。 切忌勿貪小便宜喔^^ 有任何問題歡迎提出 本商場還有更多有關提琴專業的產品喔~ 歡迎參觀我的飾品賣場唷,[]
1213584045,☆日本國寶級大師雨田光弘☆↗　手繪樂器貓馬克杯㊣,680,日本國寶畫家－ 雨田光弘 所 親手繪製 的 貓咪 馳名中外 現有三款：一、吹笛貓 二、Trumbone貓 (伸縮喇叭) 三、Violin貓(小提琴) 非常的可愛唷！值得您精緻收藏 ♡ ♡ ♡ ♡,[]
c56741352,☆Phiharmonic愛樂工坊☆-Helicore大提琴弦,3500,美國原裝進口Helicore  cello  string 堅固耐用 音色飽滿溫和 ☆如有疑問，請多多利用問與答!!!!!~~,[]
d42396210,☆Phiharmonic愛樂工坊☆-FOM肩墊,280,全新品，尺吋1/4 1/8 1/10 1/16 有任何問題歡迎提出 本商場還有更多有關提琴專業的產品喔~ 歡迎參觀我的飾品賣場唷,[]
f28864488,☆日本原裝進口，管弦重奏6杯組,2450,*尺寸：67*120mm *可愛的造型杯組 *正面為不同的樂手彈奏著自己的樂器 *背面看過去是各個樂手彈奏的背影 *很有趣的一個杯組喔 500/個,[]
b67589448,☆Phiharmonic愛樂工坊☆-Larsen violin string小提琴弦,1700,小叮嚀：另有單購e弦 由於琴弦廠牌眾多， 當心買到囤積貨，品質相差 甚遠。 切忌勿貪小便宜喔^^ 有任何問題歡迎提出 本商場還有更多有關提琴專業的產品喔~,[]
b68866157,☆Phiharmonic愛樂工坊☆-Spirocore cello strings  大提琴弦(套弦),3150,~~奧第利 Thomatik公司出品~~~ C 弦+G 弦  NT. 1980 D 弦+A 弦   NT.1400,[]
c54294151,日本YOSHIZAWA Ltd.出品  ☆優雅 ☆↗音符對筆,380,優雅的音符對筆 不管是收藏、送禮、自用皆相宜 數量有限，即時行動,[]
d59568400,日本進口-圓柱12色色鉛筆,360,*圓柱造型的筆筒 *內有十二種顏色的色鉛筆 *筆上有可愛的音符圖案喔,[]
e36210842,☆Phiharmonic愛樂工坊☆-小提琴弱音器,300,金屬材料弱音效果為佳 有任何問題歡迎提出 本商場還有更多有關提琴專業的產品喔~ 圖3  NT.:450,[]
1212335024,日本原裝 ☆雅緻 ☆↗高音譜記號筆 黑白雙色,280,雅緻的鋼筆 不論黑或白 都能增添您與眾不同的氣質,[]
c79703684,日本進口雨田貓咪～L型檔案夾,90,*L型資料夾讓資料不會零零散散不知去處 *多種款式可選 *拿來收藏也是不錯的選擇,[]
1242259692,☆ 日本原裝進口，樂器別針 ☆,120,小提琴 法國號 薩克斯風 8分音府 高音譜號,[]
1212236461,日本原裝 進口☆精緻 ☆↗音符手錶,800,精緻可愛的音符手錶 皮製的錶帶　共有三種顏色 增添您的風采       皮製錶帶後段有高音譜號,[]
f21161680,☆Denis Wick  5504小喇叭弱音器,1500,Denis Wick 5504 小喇叭/小號  弱音器 全新原裝進口，行家首選 特價1500免運費 歡迎參觀我的飾品賣場唷 ☆謝謝各位舊雨新知的捧場，本賣場將把音樂飾品另闢新賣場 Y2740160134，歡迎蒞臨參觀！,[]
b88389968,☆Phiharmonic愛樂工坊☆-Kaplan E 弦,250,☆這是一款極特殊、更精工的弦，強調在去除雜音，使音色更為乾淨。 歡迎參觀我的飾品賣場唷,[]
f40452532,☆Phiharmonic愛樂工坊☆-大提琴 陶瓷藝術容器,2880,這是一對產於1956年日本 LEFTON 陶瓷株式會社 的大提琴花瓶.可至於平台or 桌面.亦可掛於牆上 秀麗的金漆彩繪.優雅細緻的質感 一對 NT5000,[]
e78571739,☆Phiharmonic愛樂工坊☆- KAWAI 平台一手鋼琴  KF-1,238000,"KAWAI是鋼琴製造業中,歷史最悠久的專門製造鋼琴的 家族性企業 。KAWAI是目前唯一一家將自己的姓氏作為鋼琴商標的鋼琴工廠。 kawai平台鋼琴豐富的技術製造經驗，特別顯示是在完美的KF-1機型裡。 因為要改裝潢----這是展示於公司門市的一手琴喔 ! 長度         164CM 重量          270KG 顏色           Black",[]
f11736518,☆Phiharmonic愛樂工坊☆-大提琴金屬弱音器(黑),600,金屬材質效果為佳 有任何問題歡迎提出 本商場還有更多有關提琴專業的產品喔~ 歡迎參觀我的飾品賣場唷,[]
e44448293,☆BAM    Hitech  中提琴盒.小提琴盒,24000,BAM    Hitech  中提琴盒 ☆氣密性極佳 ☆外層為BAM高科技技術，含有三個夾層，高性能塑材加上標準的ABS，能強固和增加物品亮度 ☆Color:黑碳/碳銀 ☆大小:82*30.5*13 謝謝各位舊雨新知的捧場，本賣場將把音樂飾品另闢新賣場 Y2740160134，歡迎蒞臨參觀！迎參觀我的飾品賣場唷,[]
e44448293,☆BAM    Hitech  中提琴盒.小提琴盒,24000,BAM    Hitech  中提琴盒 ☆氣密性極佳 ☆外層為BAM高科技技術，含有三個夾層，高性能塑材加上標準的ABS，能強固和增加物品亮度 ☆Color:黑碳/碳銀 ☆大小:82*30.5*13 謝謝各位舊雨新知的捧場，本賣場將把音樂飾品另闢新賣場 Y2740160134，歡迎蒞臨參觀！迎參觀我的飾品賣場唷,[]
b102956061,☆Phiharmonic愛樂工坊☆-日本原裝SUZUKI 小提琴附原裝日製盒&簽名弓,16800,"這是個 日本原裝SUZUKI 小提琴附""原裝日製盒"" &"" 簽名弓."" 光是這日製琴盒就值了八千多台幣.台灣進口要 5百系列以上才有這 等配備可添購. 此把小提琴 音色乾淨.絕無僅有.物超所值",[]
1225949984,☆日本進口，Hello Kitty 24K純金鍍&SV1000純銀  絕版手機吊飾,4800,超 KAWAI 日本原裝　HELLO  KITTY　gold $silver precous metal strap 真皮飾金手機吊飾. 1.　24K 純金鍍金 2.    SV 1000 純銀,[]
e45743644,☆Phiharmonic愛樂工坊☆-Wondertone Solo violin string小提琴弦,2200,小叮嚀：由於琴弦廠牌眾多，當心買到囤積貨， 品質相差甚遠。切忌勿貪小便宜喔^^ 如有興趣購買請提問，謝謝^^ 有任何問題歡迎提出 本商場還有更多有關提琴專業的產 品喔~ 歡迎參觀我的飾品賣場 ☆謝謝各位舊雨新知的捧場，本賣場將把音樂飾品另闢新賣場 Y2740160134，歡迎蒞臨參觀！唷,[]
f11736518,☆Phiharmonic愛樂工坊☆-大提琴金屬弱音器(黑),600,金屬材質效果為佳 有任何問題歡迎提出 本商場還有更多有關提琴專業的產品喔~ 歡迎參觀我的飾品賣場唷,[]
d44441405,☆Phiharmonic愛樂工坊☆-KUN-VOCE肩墊,2980,原產地：加拿大 產品特色：為全球知名提琴肩墊大廠，使用上相當舒適。 利用特殊製材碳纖維，耐用　堅固。 有任何問題歡迎提出 本 商場還有更多有關提琴專業的產品喔~,[]
b54517026,☆Phiharmonic愛樂工坊☆-Pirastro Chromcor 大提弦,4900,小叮嚀：由於琴弦廠牌眾多，當心買到囤積貨 ，品質相差 甚遠。切忌勿貪小便宜喔^^ 有任何問題歡迎提出 本商場還有更多有關提琴專業的產品喔~,[]
d59568400,日本進口-圓柱12色色鉛筆,360,*圓柱造型的筆筒 *內有十二種顏色的色鉛筆 *筆上有可愛的音符圖案喔,[]
f21161680,☆Denis Wick  5504小喇叭弱音器,1500,Denis Wick 5504 小喇叭/小號  弱音器 全新原裝進口，行家首選 特價1500免運費 歡迎參觀我的飾品賣場唷 ☆謝謝各位舊雨新知的捧場，本賣場將把音樂飾品另闢新賣場 Y2740160134，歡迎蒞臨參觀！,[]
d76181276,日本原裝進口-小熊樂手,350,*白色瓷器小熊 *可收藏一整套組成可愛的交響樂隊 *60*50*50mm 內容更新: 2012-10-25 18:36 任單一小熊價,[]
1227500192,**歐洲精品收藏家 COLLECTION ** 名品義大利限量精品 REUGE 手工音樂珠寶盒,18000,"義大利限量精品 REUGE 手工音樂盒 MADE IN ITALY SORRENTO .義大利 索倫托製造... 瑞士製造的''REUGE',音樂鈴, 與瑞士製造的名錶 . 齊名於世界. 成立於1865年的瑞士REUGE機械式音樂盒 是當今世界上最知名的精密機械式音樂盒製造公司 傳承瑞士聞名的精密機械設計及製造技術 ,至今尚無任何其他品牌的音樂盒可與之相比 ˙ 義大利精緻的木工藝 + 瑞士名器就是 非常值得珍藏的珠寶盒~ HANDMADE  手工製做～精緻可爱。 歐美收藏家的最愛 華麗細緻˙無與倫比 音樂盒的 旋律 是     Pour Elise 。 尺寸:     21cm *  13.5cm 。   *附鑰匙 ☆謝謝各位舊雨新知的捧場，本賣場將把音樂飾品另闢新賣場 Y2740160134，歡迎蒞臨參觀！",[]
b58754337,☆BAM經典優雅小提琴盒,99999,BAM經典優雅小提琴盒 ☆外層為防水面料 ☆內層為高密度聚氨酯可防熱，及ABS的強固結構 ☆COLOR:黑色&銀色&孛跟第酒紅 3 ☆重量:2.9kg ☆謝謝各位舊雨新知的捧場，,[]
f52164986,☆Phiharmonic愛樂工坊☆-Pirastro Obligato 中提琴弦,2800,由於琴弦廠牌眾多， 當心買到囤積貨，品質相差 甚遠。 切忌勿貪小便宜喔^^ 有任何問題歡迎提出 本商場還有更多有關提琴專業的產品喔~ 歡迎參觀我的飾品賣場唷,[]
e43863795,日本原裝進口 ☆經典 ☆↗皮製收納盒,400,"精緻的皮製收納盒 漂亮的外型，可做鉛筆盒也能當化妝盒使用 增添您與眾不同的優雅氣質

                ''另有琴鍵圖型包''",[]
